curl,net-util/curl,8.11.0,db59cf0d671ca6e7f5c2c5ec177084a33a79e04c97e71cf183a5cdea235054eb,https://curl.se/download/curl-VVV.tar.xz,https://curl.se/,curl is a command line tool and library for transferring data with URLs
dash,app-shell/dash,0.5.12,6a474ac46e8b0b32916c4c60df694c82058d3297d8b385b74508030ca4a8f28a,http://gondor.apana.org.au/~herbert/dash/files/dash-VVV.tar.gz,http://gondor.apana.org.au/~herbert/dash/,The Debian Almquist shell
dejagnu,dev-tool/dejagnu,1.6.3,87daefacd7958b4a69f88c6856dbd1634261963c414079d0c371f589cd66a2e3,https://ftpmirror.gnu.org/dejagnu/dejagnu-VVV.tar.gz,https://www.gnu.org/software/dejagnu/,The DejaGnu package contains a framework for running test suites on GNU tools
diffutils,app-util/diffutils,3.10,90e5e93cc724e4ebe12ede80df1634063c7a855692685919bfe60b556c9bd09e,https://ftpmirror.gnu.org/diffutils/diffutils-VVV.tar.xz,https://www.gnu.org/software/diffutils/,GNU Diffutils is a package of several programs related to finding differences between files
e2fsprogs,app-util/e2fsprogs,1.47.1,5a33dc047fd47284bca4bb10c13cfe7896377ae3d01cb81a05d406025d99e0d1,https://mirrors.edge.kernel.org/pub/linux/kernel/people/tytso/e2fsprogs/vVVV/e2fsprogs-VVV.tar.xz,https://e2fsprogs.sourceforge.net/,Utilities for administrating the ext2 ext3 and ext4 file systems
expat,dev-lib/expat,2.6.3,274db254a6979bde5aad404763a704956940e465843f2a9bd9ed7af22e2c0efc,https://github.com/libexpat/libexpat/releases/download/R_2_6_3/expat-2.6.3.tar.xz,https://libexpat.github.io/,Expat is a stream-oriented XML parser library written in C
expect,dev-tool/expect,5.45.4,49a7da83b0bdd9f46d04a04deec19c7767bb9a323e40c4781f89caf760b92c34,https://prdownloads.sourceforge.net/expect/expectVVV.tar.gz,https://core.tcl-lang.org/expect/index,Expect is a tool for automating interactive applications via scripted dialogues
file,app-util/file,5.45,fc97f51029bb0e2c9f4e3bffefdaf678f0e039ee872b9de5c002a6d09c784d82,ftp://ftp.astron.com/pub/file/file-VVV.tar.gz,https://www.darwinsys.com/file/,file is a utility which guesses a file's type based on its content
findutils,app-util/findutils,4.10.0,1387e0b67ff247d2abde998f90dfbf70c1491391a59ddfecb8ae698789f0a4f5,https://ftpmirror.gnu.org/findutils/findutils-VVV.tar.xz,https://www.gnu.org/software/findutils/,GNU Find Utilities are the basic directory searching utilities
flex,dev-tool/flex,2.6.4,e87aae032bf07c26f85ac0ed3250998c37621d95f8bd748b31f15b33c45ee995,https://github.com/westes/flex/releases/download/vVVV/flex-VVV.tar.gz,https://github.com/westes/flex,Flex is a tool for generating scanners
gawk,app-util/gawk,5.3.1,694db764812a6236423d4ff40ceb7b6c4c441301b72ad502bb5c27e00cd56f78,https://ftpmirror.gnu.org/gawk/gawk-VVV.tar.xz,https://www.gnu.org/software/gawk/,GNU implementation of the AWK text processor
gcc,dev-tool/gcc,14.2.0,a7b39bc69cbf9e25826c5a60ab26477001f7c08d85cec04bc0e29cabed6f3cc9,https://ftpmirror.gnu.org/gcc/gcc-VVV/gcc-VVV.tar.xz,https://gcc.gnu.org/,gcc is the GNU Compiler Collection
gdbm,dev-db/gdbm,1.24,695e9827fdf763513f133910bc7e6cfdb9187943a4fec943e57449723d2b8dbf,https://ftpmirror.gnu.org/gdbm/gdbm-VVV.tar.gz,https://www.gnu.org.ua/software/gdbm/,GNU dbm is a library of database functions that use extensible hashing
gettext,dev-tool/gettext,0.22.5,fe10c37353213d78a5b83d48af231e005c4da84db5ce88037d88355938259640,https://ftpmirror.gnu.org/gettext/gettext-VVV.tar.xz,https://www.gnu.org/software/gettext/,The GNU Gettext package contains utilities and libraries for internationalization and localization
